LastName,Percentage
Cordiner,3.102962%
Smith,1.410437%
Nguyen,1.128350%
Boland,0.987306%
Ltd,0.846262%
Pane,0.846262%
Whitehead,0.846262%
Rahiman,0.705219%
Abel,0.705219%
Agius,0.705219%
Johnson,0.705219%
Vanuatu,0.705219%
Wilson,0.705219%
Rogosau,0.564175%
Ramage,0.564175%
Gineste,0.564175%
Moore,0.564175%
Jones,0.564175%
Dohonu,0.564175%
Bell,0.564175%
Bourgeois,0.564175%
Khoroshko,0.564175%
Reding,0.423131%
Garae,0.423131%
Gaillande,0.423131%
Ganapathy,0.423131%
Gil,0.423131%
Trading,0.423131%
Turner,0.423131%
Temar,0.423131%
Shaaban,0.423131%
Shazad,0.423131%
Svendsen,0.423131%
Moloney,0.423131%
Monvoisin,0.423131%
Jackson,0.423131%
John,0.423131%
Cole,0.423131%
Dinh,0.423131%
Datta,0.423131%
Director,0.423131%
Deamer,0.423131%
Vocor,0.423131%
Kekuki,0.423131%
Phillipps,0.423131%
Read,0.282087%
Rakau,0.282087%
Rich,0.282087%
Ramana,0.282087%
Ruckstuhl,0.282087%
Roche,0.282087%
Robb,0.282087%
Inc,0.282087%
Newham,0.282087%
Gilchrist,0.282087%
Gardais,0.282087%
Tuttle,0.282087%
Truong,0.282087%
Tare,0.282087%
Seaward,0.282087%
Schwimmer,0.282087%
Schwartze,0.282087%
Shelleh,0.282087%
Stitt,0.282087%
Aslam,0.282087%
Anders,0.282087%
Alick,0.282087%
Finn,0.282087%
Freund,0.282087%
Ortiz,0.282087%
Herringshaw,0.282087%
Hachey,0.282087%
Huynh,0.282087%
Huang,0.282087%
Hubbard,0.282087%
Hong,0.282087%
Mackay,0.282087%
Mano,0.282087%
Maseiras,0.282087%
Mcleod,0.282087%
Mcguire,0.282087%
Maes,0.282087%
Cresswell,0.282087%
Covach,0.282087%
Capital,0.282087%
Daniel,0.282087%
Dang,0.282087%
Durand,0.282087%
Quinto,0.282087%
Bonke,0.282087%
Batty,0.282087%
Burton,0.282087%
Kaye,0.282087%
Konally,0.282087%
Kakkatt,0.282087%
Kalopung,0.282087%
Liu,0.282087%
Lewis,0.282087%
Lowden,0.282087%
Li,0.282087%
Lee,0.282087%
Ledoux,0.282087%
Peterson,0.282087%
Pacific,0.282087%
Pantay,0.282087%
Perry,0.282087%
Werner,0.282087%
Wasden,0.282087%
Wong,0.282087%
Wei,0.282087%
Worth,0.282087%
White,0.282087%
Robertson,0.141044%
Rivera,0.141044%
Rochet,0.141044%
Rowe,0.141044%
Rodriguez,0.141044%
Roberts,0.141044%
Rabbani,0.141044%
Rajan,0.141044%
Redhsa,0.141044%
Robinson,0.141044%
Ranford,0.141044%
Rigoni,0.141044%
Reber,0.141044%
Rodgers,0.141044%
United,0.141044%
Urzaiz,0.141044%
Urieta,0.141044%
Ian,0.141044%
Ireside,0.141044%
Igarza,0.141044%
Ngoc,0.141044%
Naut,0.141044%
Nako,0.141044%
Novotny,0.141044%
Nuf,0.141044%
Netherway,0.141044%
Namak,0.141044%
Napat,0.141044%
Negrea,0.141044%
Natchimuthuchinnasamy,0.141044%
Northam,0.141044%
Nicklam,0.141044%
Nirua,0.141044%
Navam,0.141044%
Grillo,0.141044%
Gao,0.141044%
Gordan,0.141044%
Goiset,0.141044%
Graylan,0.141044%
Guderian,0.141044%
George,0.141044%
Gates,0.141044%
Gotlieb,0.141044%
Garcia,0.141044%
Georgiev,0.141044%
Goyal,0.141044%
Gorelik,0.141044%
Gashi,0.141044%
Greacen,0.141044%
Gushtanov,0.141044%
Zahr,0.141044%
Zeller,0.141044%
Ziejewski,0.141044%
Tibell,0.141044%
Today,0.141044%
Thomas,0.141044%
Thanh,0.141044%
Th,0.141044%
Tatto,0.141044%
Thornburgh,0.141044%
Tsimopoulos,0.141044%
Tarin,0.141044%
Taleo,0.141044%
Train,0.141044%
Tran,0.141044%
Todman,0.141044%
Tony,0.141044%
Talbert,0.141044%
Toyoda,0.141044%
Tabi,0.141044%
Toureleo,0.141044%
Tourelo,0.141044%
Tau,0.141044%
