LastName,Percentage
Trust,2.061856%
Enari,2.061856%
Samoa,1.546392%
Smith,1.546392%
Schuster,1.546392%
Saili,1.546392%
Cordiner,1.546392%
Callaghan,1.546392%
Loefkvist,1.546392%
Zhang,1.030928%
Samoatel,1.030928%
Fruean,1.030928%
Money,1.030928%
Martel,1.030928%
Jacob,1.030928%
Chanel,1.030928%
Valerio,1.030928%
Brightwell,1.030928%
Pereira,1.030928%
Punivalu,1.030928%
White,1.030928%
Ryan,0.515464%
Regidor,0.515464%
Roubicek,0.515464%
Rasmussen,0.515464%
Rojas,0.515464%
Rhemen,0.515464%
Roebeck,0.515464%
Ioane,0.515464%
Intercom,0.515464%
Imagineer,0.515464%
Nickel,0.515464%
Ne,0.515464%
Netzler,0.515464%
Nuusila,0.515464%
Gois,0.515464%
Gidlow,0.515464%
Gama,0.515464%
Gill,0.515464%
Gur,0.515464%
Tusani,0.515464%
Tuel,0.515464%
Tuilaepa,0.515464%
Trading,0.515464%
Tauaanae,0.515464%
Talataina,0.515464%
Thompson,0.515464%
Tu,0.515464%
Tamasese,0.515464%
Tamati,0.515464%
Tuivanu,0.515464%
Toyama,0.515464%
Soulier,0.515464%
Szegedi,0.515464%
Slaven,0.515464%
Seumanutafa,0.515464%
Suma,0.515464%
Steel,0.515464%
Spiller,0.515464%
Syahputra,0.515464%
Sass,0.515464%
Sampaio,0.515464%
Smeitink,0.515464%
Schrier,0.515464%
Stead,0.515464%
Strickland,0.515464%
Second,0.515464%
Stein,0.515464%
Sefo,0.515464%
Sablan,0.515464%
Alves,0.515464%
Apelu,0.515464%
Afano,0.515464%
Fawcett,0.515464%
Faiva,0.515464%
Fitness,0.515464%
Faumuina,0.515464%
Fuentes,0.515464%
Fata,0.515464%
Oland,0.515464%
Oeverdieck,0.515464%
Hung,0.515464%
Head,0.515464%
Hesteren,0.515464%
Hadfield,0.515464%
Hunt,0.515464%
Holtz,0.515464%
Hansmann,0.515464%
Muthyal,0.515464%
Mendola,0.515464%
Mekba,0.515464%
Martis,0.515464%
Merced,0.515464%
Moesker,0.515464%
Mcglashan,0.515464%
Mafuno,0.515464%
Malielegaoi,0.515464%
Media,0.515464%
Miller,0.515464%
Mezas,0.515464%
Milford,0.515464%
Mathieu,0.515464%
Mr,0.515464%
James,0.515464%
Jerg,0.515464%
Jennifer,0.515464%
Jr,0.515464%
Jimenez,0.515464%
Jc,0.515464%
Jayne,0.515464%
Jimlu,0.515464%
Chuang,0.515464%
Carter,0.515464%
Code,0.515464%
Cedric,0.515464%
Co,0.515464%
Chong,0.515464%
Chong-nee,0.515464%
Chiurillo,0.515464%
Chang,0.515464%
Cler,0.515464%
Capital,0.515464%
Dennissmith,0.515464%
Dolores,0.515464%
Dunand,0.515464%
Vavau,0.515464%
Vaeafe,0.515464%
Vjacheslavs,0.515464%
Vaa,0.515464%
Vaai,0.515464%
Vancamp,0.515464%
Eberhart,0.515464%
Elia,0.515464%
Euini,0.515464%
Brown,0.515464%
Kung,0.515464%
Kimura,0.515464%
Liu,0.515464%
Lee,0.515464%
Lourens,0.515464%
Lana,0.515464%
Lab,0.515464%
Lenskaya,0.515464%
Lin,0.515464%
Lockyer,0.515464%
Ltd,0.515464%
Leetz,0.515464%
Lanoy,0.515464%
Yu,0.515464%
Yeh,0.515464%
Yin,0.515464%
Yang,0.515464%
Pan,0.515464%
Pelenato,0.515464%
Pupu,0.515464%
Paris,0.515464%
Wright,0.515464%
Weinhold,0.515464%
Westerlund,0.515464%
Woodrow,0.515464%
Wholesale,0.515464%
Wuy,0.515464%
