LastName,Percentage
Smith,0.548545%
Botha,0.492006%
Ltd,0.374117%
Naidoo,0.353066%
Coetzee,0.352464%
Venter,0.330210%
Fourie,0.328405%
Kruger,0.318782%
Pretorius,0.316977%
Smit,0.307354%
Nel,0.299534%
Roux,0.264047%
Merwe,0.246605%
Williams,0.236380%
Plessis,0.231568%
Louw,0.226756%
Marais,0.223749%
Steyn,0.221944%
Rensburg,0.221343%
Meyer,0.217132%
Pillay,0.216531%
Toit,0.215328%
Jacobs,0.212922%
Govender,0.211118%
Joubert,0.200893%
Viljoen,0.192472%
Swanepoel,0.191269%
Ferreira,0.188863%
Strydom,0.187660%
Brown,0.185254%
Wyk,0.183450%
Oosthuizen,0.182247%
Potgieter,0.182247%
Erasmus,0.178037%
Muller,0.169014%
Kotze,0.167210%
Zyl,0.166609%
Swart,0.165406%
Olivier,0.164203%
Visser,0.161195%
Engelbrecht,0.158789%
Barnard,0.154579%
Ndlovu,0.150369%
Niekerk,0.147361%
Grobler,0.146760%
Dlamini,0.146158%
Singh,0.143752%
Jones,0.140144%
Wilson,0.140144%
Agent,0.138339%
Prinsloo,0.134730%
Khumalo,0.134129%
Nkosi,0.131723%
Preez,0.129317%
Adams,0.128716%
Walt,0.128114%
Pienaar,0.125107%
Theron,0.123904%
Vorster,0.123302%
James,0.122099%
Burger,0.121498%
Moodley,0.119693%
Dube,0.119693%
Taylor,0.119092%
Westhuizen,0.119092%
Basson,0.117889%
Martin,0.116686%
Bezuidenhout,0.116085%
Bester,0.115483%
Anderson,0.114280%
Rooyen,0.112476%
Groenewald,0.111874%
Schoeman,0.111874%
Roberts,0.110070%
Thomas,0.108867%
Jordaan,0.108867%
Cloete,0.106461%
Villiers,0.105258%
Johnson,0.104657%
Heerden,0.103454%
Naude,0.102251%
Beer,0.102251%
Pieterse,0.101048%
Mostert,0.099845%
Snyman,0.098642%
Khan,0.096837%
Moyo,0.093830%
Badenhorst,0.093229%
Liebenberg,0.093229%
Rossouw,0.092627%
Myburgh,0.092627%
Cronje,0.092026%
Scott,0.091424%
Lewis,0.090823%
Chetty,0.090221%
Malan,0.088417%
Harris,0.087815%
Davis,0.087214%
King,0.087214%
Maritz,0.086612%
Scholtz,0.086011%
Jansen,0.085409%
Wright,0.084206%
Wessels,0.083605%
Botes,0.082402%
Green,0.081199%
Steenkamp,0.081199%
Africa,0.081199%
Vuuren,0.080598%
Thompson,0.079996%
Hattingh,0.079395%
Jager,0.078793%
Berg,0.078793%
Lombard,0.078793%
Terblanche,0.078192%
Lee,0.078192%
Miller,0.076989%
White,0.076989%
Human,0.075786%
Dreyer,0.075786%
Vermeulen,0.075786%
Petersen,0.075184%
Watson,0.074583%
Mkhize,0.073981%
Labuschagne,0.073981%
Young,0.073380%
Phiri,0.073380%
Stander,0.072778%
Boshoff,0.072778%
Abrahams,0.072177%
Booysen,0.072177%
Klerk,0.072177%
Walker,0.072177%
Morgan,0.071576%
Coetzer,0.070974%
Geldenhuys,0.070373%
Moore,0.070373%
Jooste,0.070373%
Paul,0.069771%
Sithole,0.069170%
Scheepers,0.069170%
Media,0.069170%
Bekker,0.069170%
Ngwenya,0.068568%
Davies,0.068568%
Patel,0.068568%
Robinson,0.067967%
David,0.067967%
Cc,0.067365%
Davids,0.067365%
Naicker,0.066764%
Hall,0.066764%
Clark,0.066764%
Gerber,0.065561%
Simpson,0.065561%
Stevens,0.064959%
Lange,0.064959%
Kock,0.064358%
Hendricks,0.063756%
Mahlangu,0.063155%
Campbell,0.063155%
Wood,0.063155%
Lubbe,0.062553%
Phillips,0.062553%
Gray,0.061952%
Roos,0.061350%
Beukes,0.061350%
Ngcobo,0.060749%
Nxumalo,0.060749%
Nortje,0.060749%
Zulu,0.060749%
Silva,0.060749%
Odendaal,0.060749%
Cilliers,0.060749%
Daniels,0.060749%
Brink,0.060749%
Khoza,0.060749%
Tonder,0.060147%
Gordon,0.059546%
Kriel,0.059546%
Ncube,0.058945%
Greeff,0.058945%
Gouws,0.058945%
Ellis,0.058945%
Ross,0.058343%
Reddy,0.058343%
Parker,0.058343%
Sibanda,0.057742%
John,0.057742%
Els,0.057742%
Strauss,0.057140%
Mokoena,0.057140%
Bothma,0.057140%
Lourens,0.057140%
Andre,0.056539%
Murray,0.056539%
Mohamed,0.056539%
Bosman,0.056539%
Johan,0.055937%
Stewart,0.055336%
Michael,0.055336%
Ntuli,0.054734%
Greyling,0.054734%
Mulder,0.054734%
Mitchell,0.054734%
Esterhuizen,0.054734%
Loubser,0.054734%
Schutte,0.054133%
Allen,0.054133%
Brits,0.053531%
Edwards,0.052930%
Evans,0.052930%
Thomson,0.052328%
Collins,0.052328%
Fouche,0.051727%
Morris,0.051125%
Bell,0.051125%
Lloyd,0.051125%
Wet,0.051125%
Radebe,0.050524%
Gumede,0.050524%
Mabaso,0.050524%
Maseko,0.050524%
Buys,0.049922%
Bosch,0.049922%
Robertson,0.049321%
Rautenbach,0.049321%
Tshabalala,0.049321%
Jackson,0.049321%
Cooper,0.049321%
Dns,0.049321%
Uys,0.048719%
Solomon,0.048719%
Maharaj,0.048719%
Meiring,0.048719%
Vermaak,0.048719%
Peter,0.048719%
Hill,0.048118%
Henning,0.048118%
Mark,0.048118%
Mr,0.048118%
Dyk,0.048118%
Shaw,0.047517%
Ahmed,0.047517%
Staden,0.046915%
Carter,0.046915%
Mhlongo,0.046314%
Clarke,0.046314%
Fraser,0.045712%
Meintjes,0.045712%
Matthews,0.045712%
Delport,0.045712%
Baker,0.045712%
Roets,0.045111%
George,0.045111%
Mthembu,0.045111%
