LastName,Percentage
Banda,2.125580%
Phiri,2.027852%
Mulenga,1.392622%
Tembo,1.368190%
Zulu,1.026142%
Musonda,0.855118%
Mwanza,0.830687%
Sakala,0.684095%
Nyirenda,0.635231%
Mwale,0.635231%
Zambia,0.537503%
Chanda,0.537503%
Lungu,0.537503%
Mumba,0.488639%
Zimba,0.464207%
Mutale,0.464207%
Mwape,0.464207%
Patel,0.464207%
Bwalya,0.439775%
Siwale,0.415343%
Ndhlovu,0.390911%
Mubanga,0.390911%
Mwansa,0.390911%
Mbewe,0.390911%
Heuer,0.342047%
Mudenda,0.342047%
Mwamba,0.342047%
Chishimba,0.342047%
Simbeye,0.317615%
Mwewa,0.293183%
Sikaona,0.268752%
Moyo,0.268752%
Mboma,0.268752%
Chisanga,0.268752%
Kasoma,0.268752%
Ngoma,0.244320%
Mwengwe,0.244320%
Chama,0.244320%
Daka,0.244320%
Kaunda,0.244320%
Nyambe,0.219888%
Siame,0.219888%
Haambokoma,0.219888%
Mwila,0.219888%
Chiiko,0.219888%
Chola,0.219888%
Kasonde,0.219888%
Kangwa,0.219888%
Ngondo,0.195456%
Sinkolongo,0.195456%
Sikazwe,0.195456%
Mtonga,0.195456%
Munthali,0.195456%
Musosha,0.195456%
Bhana,0.195456%
Bwanausi,0.195456%
Kapembwa,0.195456%
Lubunda,0.195456%
Ltd,0.195456%
Nkhoma,0.171024%
Fleming,0.171024%
Fakorede,0.171024%
Musakanya,0.171024%
Muzala,0.171024%
Chulu,0.171024%
Chalcraft,0.171024%
Chifumba,0.171024%
Chilekwa,0.171024%
Besa,0.171024%
Kombe,0.171024%
Kaponde,0.171024%
Lombe,0.171024%
Lubinda,0.171024%
Wandi,0.171024%
Nyirongo,0.146592%
Gondwe,0.146592%
Gundersen,0.146592%
Sinyangwe,0.146592%
Mwenya,0.146592%
Musinga,0.146592%
Mambwe,0.146592%
Mkandawire,0.146592%
Musumali,0.146592%
Media,0.146592%
Mukuka,0.146592%
Mofya,0.146592%
Musiwa,0.146592%
Mangaliso,0.146592%
Mupeso,0.146592%
Jere,0.146592%
Chipulu,0.146592%
Chingala,0.146592%
Chileshe,0.146592%
Kwalela,0.146592%
Ngwira,0.122160%
Nsalange,0.122160%
Ngandu,0.122160%
Ngulube,0.122160%
Gale,0.122160%
Silwimba,0.122160%
Simuyemba,0.122160%
Simunji,0.122160%
Sacha,0.122160%
Sitali,0.122160%
Shumba,0.122160%
Asghar,0.122160%
Africa,0.122160%
Owusu,0.122160%
Mazimba,0.122160%
Mweetwa,0.122160%
Mwene,0.122160%
Matambo,0.122160%
Matanda,0.122160%
Munuka,0.122160%
Mwaka,0.122160%
Malama,0.122160%
Manda,0.122160%
Chisha,0.122160%
Chishinji,0.122160%
Chavula,0.122160%
Chihana,0.122160%
Clouds,0.122160%
Chisulo,0.122160%
Choongo,0.122160%
Valli,0.122160%
Katebe,0.122160%
Kabwe,0.122160%
Kaonga,0.122160%
Kaingu,0.122160%
Kanyanta,0.122160%
Kasanga,0.122160%
Kafunda,0.122160%
Luwaile,0.122160%
Wisdom,0.122160%
Inc,0.097728%
Nwako,0.097728%
Nyumbu,0.097728%
Nortier,0.097728%
Ntumba,0.097728%
Ngambi,0.097728%
Njobvu,0.097728%
Njongo,0.097728%
Njungu,0.097728%
Geldenhuys,0.097728%
Zitha,0.097728%
Tresha,0.097728%
Sampa,0.097728%
Siameja,0.097728%
Singh,0.097728%
Simfukwe,0.097728%
Silundu,0.097728%
Abdelaziz,0.097728%
Hachinene,0.097728%
Hangoma,0.097728%
Halubanza,0.097728%
Hamuluwa,0.097728%
Harvey,0.097728%
Handia,0.097728%
Muzondiwa,0.097728%
Mwiinga,0.097728%
Mufugi,0.097728%
Muungo,0.097728%
Mwelwa,0.097728%
Mwenge,0.097728%
Moonga,0.097728%
Mhango,0.097728%
Mubita,0.097728%
Musumba,0.097728%
Muchindika,0.097728%
Mwambazi,0.097728%
Mehta,0.097728%
Mukuti,0.097728%
Mbao,0.097728%
Mpundu,0.097728%
Mupeta,0.097728%
Joseph,0.097728%
Chirwa,0.097728%
Chibanguza,0.097728%
Chisenga,0.097728%
Changala,0.097728%
Chapusha,0.097728%
Chitiya,0.097728%
Chalwe,0.097728%
Chapotamo,0.097728%
Chibuye,0.097728%
Chibwe,0.097728%
Chuba,0.097728%
Chipimo,0.097728%
Chongo,0.097728%
Chansa,0.097728%
Chaziya,0.097728%
Chilufya,0.097728%
Boshoff,0.097728%
Kamanga,0.097728%
Kapalu,0.097728%
Kayungwa,0.097728%
Kunda,0.097728%
Kaoma,0.097728%
Katongo,0.097728%
Kapungu,0.097728%
Lubasi,0.097728%
Lilonga,0.097728%
Wamundila,0.097728%
Ndeleki,0.073296%
Nonde,0.073296%
Ngandwe,0.073296%
Nkole,0.073296%
Gajjar,0.073296%
Zgambo,0.073296%
Ziba,0.073296%
Zyambo,0.073296%
Tsuji,0.073296%
Travel,0.073296%
Sankata,0.073296%
Sharma,0.073296%
Simmons,0.073296%
Shiel,0.073296%
Sinkamba,0.073296%
Singandu,0.073296%
Simutowe,0.073296%
Siamutondo,0.073296%
Sinkende,0.073296%
Sikalinda,0.073296%
Soko,0.073296%
Simumba,0.073296%
Samaras,0.073296%
Salima,0.073296%
Simete,0.073296%
Shiwanwa,0.073296%
Situmbeko,0.073296%
Silumbe,0.073296%
Shaba,0.073296%
Armengol,0.073296%
Alban,0.073296%
Andrew,0.073296%
Ali,0.073296%
Fernando,0.073296%
Fischer,0.073296%
Hachita,0.073296%
Hickey,0.073296%
Haamucenje,0.073296%
Hus,0.073296%
Henry,0.073296%
Malambo,0.073296%
Mumbi,0.073296%
Muzukutwa,0.073296%
Mwinsa,0.073296%
Muuka,0.073296%
Munchini,0.073296%
Mwenda,0.073296%
Muwowo,0.073296%
Mantina,0.073296%
Musokotwane,0.073296%
Machona,0.073296%
Malik,0.073296%
Michello,0.073296%
Makukula,0.073296%
Morel,0.073296%
Mutumba,0.073296%
Munungwe,0.073296%
Masumbu,0.073296%
Maimbo,0.073296%
Mbulo,0.073296%
Mulonda,0.073296%
Mulosa,0.073296%
Mpolokoso,0.073296%
Mutafya,0.073296%
Mukuku,0.073296%
Mungo,0.073296%
Mofu,0.073296%
Mfula,0.073296%
Mushinge,0.073296%
Mackenzie,0.073296%
Mcmillon,0.073296%
Makoni,0.073296%
Msimuko,0.073296%
Mdala,0.073296%
Masona,0.073296%
Mpampanshya,0.073296%
Milimo,0.073296%
Mukombo,0.073296%
Jason,0.073296%
Jule,0.073296%
Chinyundu,0.073296%
Chisembele,0.073296%
Chiyamba,0.073296%
Chishala,0.073296%
Chikoye,0.073296%
Chikwanda,0.073296%
Change,0.073296%
Chondoka,0.073296%
Chomba,0.073296%
Chungu,0.073296%
Chibesa,0.073296%
Chibesakunda,0.073296%
Chibomba,0.073296%
Chita,0.073296%
Chitalu,0.073296%
Chooka,0.073296%
David,0.073296%
Vwalika,0.073296%
Ezzedine,0.073296%
Bohling,0.073296%
Brazier,0.073296%
Bandah,0.073296%
Black,0.073296%
Kibombwe,0.073296%
Kaluba,0.073296%
Kandole,0.073296%
Koggu,0.073296%
Kilembe,0.073296%
Konkola,0.073296%
Kruger,0.073296%
Kamuhuza,0.073296%
Kasanda,0.073296%
Kawesa,0.073296%
Kwaleyela,0.073296%
Kazadi,0.073296%
Kalulu,0.073296%
Kashiwa,0.073296%
Kachidza,0.073296%
Lusambo,0.073296%
Lupupa,0.073296%
Longwe,0.073296%
Lavu,0.073296%
Lodge,0.073296%
Lesa,0.073296%
Yikona,0.073296%
