LastName,Percentage
Inc,1.139896%
Sibanda,1.095485%
Moyo,0.962250%
Ncube,0.917839%
Dube,0.858623%
Ndlovu,0.592154%
Nyathi,0.399704%
Dhliwayo,0.355292%
Gumunyu,0.340489%
Mpofu,0.340489%
Mundangepfupfu,0.310881%
Makoni,0.310881%
Muvuti,0.266469%
Shoko,0.251665%
Mhlanga,0.251665%
Maposa,0.236862%
Zimbabwe,0.222058%
Hove,0.222058%
Phiri,0.222058%
Zulu,0.207254%
Madzima,0.207254%
Smith,0.192450%
Shumba,0.192450%
Banda,0.192450%
Nyoni,0.177646%
Sithole,0.177646%
Foto,0.177646%
Makava,0.177646%
Ltd,0.177646%
Nkomo,0.162842%
Tembo,0.162842%
Chikomba,0.162842%
Nyagura,0.148038%
Tshuma,0.148038%
Mtetwa,0.148038%
Mararike,0.148038%
Mutasa,0.148038%
Mlilo,0.148038%
Muza,0.148038%
John,0.148038%
Pfavayi,0.148038%
Ngwenya,0.133235%
Thomas,0.133235%
Machingura,0.133235%
Muzari,0.133235%
Mukahanana,0.133235%
Masuku,0.133235%
Matsvaire,0.133235%
Mandaza,0.133235%
Masanga,0.133235%
Mavunga,0.133235%
Chigariro,0.133235%
Chombe,0.133235%
Chauke,0.133235%
Dhlamini,0.133235%
Nyandoro,0.118431%
Gurupira,0.118431%
Goto,0.118431%
Tobaiwa,0.118431%
Habeenzu,0.118431%
Muyambo,0.118431%
Mahachi,0.118431%
Makaza,0.118431%
Mapurisa,0.118431%
Maunganidze,0.118431%
Mukwenha,0.118431%
Mudzamba,0.118431%
Jena,0.118431%
Chikomo,0.118431%
Davies,0.118431%
Kembo,0.118431%
Kufakunesu,0.118431%
Pasipanodya,0.118431%
Williams,0.118431%
Welch,0.118431%
Nleya,0.103627%
Nkala,0.103627%
Nyamurowa,0.103627%
Gore,0.103627%
Takarusenga,0.103627%
Tafataona,0.103627%
Shamuyarira,0.103627%
Sadomba,0.103627%
Sigauke,0.103627%
Saidi,0.103627%
Magwagwa,0.103627%
Marimo,0.103627%
Mapfumo,0.103627%
Murebwa,0.103627%
Mabika,0.103627%
Mugabe,0.103627%
Madzonga,0.103627%
Mandiudza,0.103627%
Mwale,0.103627%
Masimba,0.103627%
Mazorodze,0.103627%
Mugova,0.103627%
Mundondo,0.103627%
Chinguwa,0.103627%
Chigova,0.103627%
Chiwakira,0.103627%
Dombo,0.103627%
Padmore,0.103627%
Peters,0.103627%
Riley,0.088823%
Ndebele,0.088823%
Nzuwah,0.088823%
Njovu,0.088823%
Ngara,0.088823%
Nhapi,0.088823%
Gakaka,0.088823%
Gatsi,0.088823%
Gutu,0.088823%
Gara,0.088823%
Trust,0.088823%
Hungwe,0.088823%
Matonhodze,0.088823%
Manyanga,0.088823%
Muzondo,0.088823%
Mashonga,0.088823%
Maphosa,0.088823%
Matanga,0.088823%
Machipisa,0.088823%
Makoto,0.088823%
Mhembere,0.088823%
Mkwananzi,0.088823%
Maponga,0.088823%
Musundire,0.088823%
Manduku,0.088823%
Michael,0.088823%
Mayas,0.088823%
Mushipe,0.088823%
Madende,0.088823%
Jeka,0.088823%
Juru,0.088823%
Chimbetete,0.088823%
Chinhanga,0.088823%
Chipadza,0.088823%
Chisvo,0.088823%
Dekune,0.088823%
Vere,0.088823%
Becker,0.088823%
Bhebhe,0.088823%
Brown,0.088823%
Kwechete,0.088823%
Kuchera,0.088823%
Khumalo,0.088823%
Patel,0.088823%
Usaiwevhu,0.074019%
Gutsa,0.074019%
Green,0.074019%
Gwaze,0.074019%
Gonzalos,0.074019%
Gumbo,0.074019%
Gomo,0.074019%
Zambasa,0.074019%
Zinyama,0.074019%
Takaendesa,0.074019%
Tarusenga,0.074019%
Taylor,0.074019%
Sibindi,0.074019%
School,0.074019%
Swart,0.074019%
Sebele,0.074019%
Africa,0.074019%
Hanyane,0.074019%
Harry,0.074019%
Hlabangana,0.074019%
Matsaudza,0.074019%
Mashava,0.074019%
Mumbure,0.074019%
Mangachena,0.074019%
Munodawafa,0.074019%
Magaya,0.074019%
Munengwa,0.074019%
Maxwell,0.074019%
Muzenda,0.074019%
Mare,0.074019%
Matundu,0.074019%
Mandeya,0.074019%
Matsika,0.074019%
Munetsi,0.074019%
Machakaire,0.074019%
Mguni,0.074019%
Mandizvidza,0.074019%
Mnyulwa,0.074019%
Miti,0.074019%
Mazonde,0.074019%
Maramba,0.074019%
Munyoro,0.074019%
Munzara,0.074019%
Morar,0.074019%
Mukoti,0.074019%
Mutize,0.074019%
Mushove,0.074019%
Machewu,0.074019%
Manda,0.074019%
Jones,0.074019%
Josiah,0.074019%
Chimbiri,0.074019%
Chapfiwa,0.074019%
Chibanda,0.074019%
Chinembiri,0.074019%
Choto,0.074019%
Chikonye,0.074019%
Chikosi,0.074019%
Chitsinde,0.074019%
Chimutengwende,0.074019%
Charumbira,0.074019%
Chitaka,0.074019%
Chironga,0.074019%
Dimingo,0.074019%
Dahwa,0.074019%
Vinyu,0.074019%
Evans,0.074019%
Erick,0.074019%
Beattie,0.074019%
Boyd,0.074019%
Kalweit,0.074019%
Phinias,0.074019%
Patsika,0.074019%
Pilime,0.074019%
Peel,0.074019%
Wynn,0.074019%
Reid,0.059215%
Rondozai,0.059215%
Rutsito,0.059215%
Rdc,0.059215%
It,0.059215%
Name,0.059215%
Nyaruwo,0.059215%
Nyanzero,0.059215%
Nhaitai,0.059215%
Nhari,0.059215%
Ndawi,0.059215%
Nhodza,0.059215%
Ghenrimopuzulu,0.059215%
Govinder,0.059215%
Gorejena,0.059215%
Gahadzikwa,0.059215%
Graham,0.059215%
Gandawa,0.059215%
Zhou,0.059215%
Zafevere,0.059215%
Tinashe,0.059215%
Timothy,0.059215%
Toggah,0.059215%
Tsuro,0.059215%
